oldcode,total_pop_80,pop16_19_80,pop18_24_80,pop25plus_80,pop18plus_80,hsplus_25plus_80,somecollege_25plus_80,collegeplus_25plus_80,hsplus_18plus_80,somecollege_18plus_80,collegeplus_18plus_80,hsplus_18_24_80,somecollege_18_24_80,collegeplus_18_24_80,inschool_16_19_80,pctinschool_16_19_80,pcthsplus_18_24_80,pctsomecollege_18_24_80,pctcollegeplus_18_24_80,pcthsplus_25plus_80,pctsomecollege_25plus_80,pctcollegeplus_25plus_80,povrate60
1067,21953,1600,2249,12943,15192,5553,1716,675,6943,2075,735,1390,359,60,1047,.654375,.6180525,.1596265,.0266785,.429035,.1325813,.0521517,50.54373
2001,7768,742,2063,3744,5807,2887,1343,574,4561,1671,639,1674,328,65,269,.3625337,.8114396,.1589918,.0315075,.7711004,.3587073,.153312,28.93401
2002,7768,742,2063,3744,5807,2887,1343,574,4561,1671,639,1674,328,65,269,.3625337,.8114396,.1589918,.0315075,.7711004,.3587073,.153312,13.45054
2003,174431,12699,26610,93020,119630,82181,45311,21984,104097,51258,22873,21916,5947,889,7804,.6145366,.8236002,.2234874,.0334085,.8834767,.4871103,.2363363,15.29646
2004,10999,1005,1615,4812,6427,2207,1148,661,3158,1366,747,951,218,86,734,.7303482,.5888545,.1349845,.0532508,.458645,.2385702,.1373649,12.3916
2005,1094,70,250,601,851,492,231,99,706,291,112,214,60,13,57,.8142857,.856,.24,.052,.8186356,.3843594,.1647255,8.492275
2006,4616,440,703,2129,2832,1200,585,345,1663,696,387,463,111,42,292,.6636364,.658606,.1578947,.059744,.5636449,.2747769,.1620479,25.46012
2007,53983,3858,9181,28062,37243,24300,12640,6165,32085,15069,6460,7785,2429,295,2324,.6023846,.8479468,.2645681,.0321316,.8659397,.4504312,.2196921,20.98931
2008,1680,136,159,960,1119,748,373,190,895,430,201,147,57,11,101,.7426471,.9245283,.3584906,.0691824,.7791666,.3885417,.1979167,22.27682
2009,19528,1217,2411,11229,13640,10231,6412,3808,12268,6992,3967,2037,580,159,786,.6458505,.8448777,.2405641,.0659477,.911123,.5710214,.3391219,21.14061
2010,25282,1689,2974,13694,16668,11235,5231,2216,13429,5740,2291,2194,509,75,1160,.6867969,.737727,.17115,.0252186,.8204323,.3819921,.1618227,8.232191
2011,11316,872,1413,6353,7766,5225,2520,1127,6326,2773,1198,1101,253,71,588,.6743119,.7791932,.1790517,.0502477,.8224461,.396663,.1773965,9.686411
2012,9939,703,1666,5224,6890,4093,2080,926,5412,2416,1002,1319,336,76,406,.5775249,.7917167,.2016807,.0456182,.7834992,.3981623,.1772588,30.23455
2014,17816,1255,1770,9634,11404,7843,3951,1708,9208,4296,1772,1365,345,64,878,.6996016,.7711864,.1949152,.0361582,.8140959,.41011,.1772888,28.65109
2015,6537,566,938,3058,3996,1665,822,420,2195,950,453,530,128,33,412,.7279152,.565032,.1364606,.0351812,.5444735,.2688031,.1373447,31.10769
2016,4199,386,666,2068,2734,1167,600,261,1586,647,269,419,47,8,210,.5440415,.6291291,.0705706,.012012,.5643134,.2901354,.1262089,82.45859
2018,3822,309,513,1961,2474,1355,539,197,1705,653,221,350,114,24,168,.5436893,.6822612,.2222222,.0467836,.690974,.2748598,.1004589,50.36776
2019,7803,578,1147,4126,5273,3348,1774,874,4210,2043,887,862,269,13,359,.6211073,.7515257,.2345248,.0113339,.8114396,.4299564,.2118274,8.473246
2020,3478,255,399,1873,2272,1328,557,275,1633,595,277,305,38,2,180,.7058824,.764411,.0952381,.0050125,.7090229,.2973839,.1468233,65.32374
2021,5676,423,892,2777,3669,2211,937,425,2906,1045,437,695,108,12,249,.5886525,.779148,.1210762,.0134529,.7961829,.3374145,.1530429,49.56868
2022,8348,605,1080,4687,5767,3764,1854,733,4596,2037,752,832,183,19,341,.5636364,.7703704,.1694444,.0175926,.8030723,.3955622,.15639,75.49081
2023,4665,446,688,1868,2556,646,278,143,1002,369,179,356,91,36,323,.7242153,.5174419,.1322674,.0523256,.3458244,.1488223,.0765525,59.35649
2024,6167,443,725,3425,4150,2641,1364,605,3243,1521,655,602,157,50,272,.6139955,.8303449,.2165517,.0689655,.7710949,.3982482,.1766423,93.07167
