oldcode,total_pop_00,pop18_24_00,pop25_34_00,pop35_44_00,pop45_64_00,pop65plus_00,hsplus_18_24_00,somecollege_18_24_00,collegeplus_18_24_00,hsplus_25_34_00,somecollege_25_34_00,collegeplus_25_34_00,hsplus_35_44_00,somecollege_35_44_00,collegeplus_35_44_00,hsplus_45_64_00,somecollege_45_64_00,collegeplus_45_64_00,hsplus_65plus_00,somecollege_65plus_00,collegeplus_65plus_00,pcthsplus_18_24_00,pctsomecollege_18_24_00,pctcollegeplus_18_24_00,pcthsplus_25_34_00,pctsomecollege_25_34_00,pctcollegeplus_25_34_00,pcthsplus_35_44_00,pctsomecollege_35_44_00,pctcollegeplus_35_44_00,pcthsplus_45_64_00,pctsomecollege_45_64_00,pctcollegeplus_45_64_00,pcthsplus_65plus_00,pctsomecollege_65plus_00,pctcollegeplus_65plus_00,povrate60
17089,169871,16357,21306,26924,40128,23351,11284,6139,1103,19028,12923,5890,24298,15677,7251,36856,23353,11642,18260,8900,4311,.6898575,.3753133,.0674329,.8930818,.6065428,.276448,.9024662,.5822686,.2693136,.9184609,.5819627,.2901216,.7819794,.38114,.1846174,15.60994
17090,2813,176,192,463,681,569,122,75,2,190,118,42,440,264,91,654,431,154,389,162,16,.6931818,.4261364,.0113636,.9895833,.6145833,.21875,.950324,.5701944,.1965443,.9603524,.6328928,.226138,.6836556,.28471,.0281195,32.68551
17091,6760,909,713,902,1557,1147,633,426,35,640,478,157,853,517,94,1400,920,309,848,275,88,.6963696,.4686469,.0385039,.8976157,.6704068,.2201964,.9456763,.5731707,.1042129,.899165,.5908799,.1984586,.73932,.2397559,.0767219,19.22296
17092,4536,220,344,676,1067,1251,116,71,10,314,232,87,640,393,145,996,551,215,874,381,111,.5272727,.3227273,.0454545,.9127907,.6744186,.252907,.9467456,.5813609,.214497,.9334583,.5164011,.2014995,.6986411,.3045564,.088729,31.52202
17093,4789,296,413,764,1071,1006,178,81,14,329,247,104,654,476,140,916,670,253,798,358,103,.6013514,.2736486,.0472973,.7966102,.5980629,.251816,.8560209,.6230366,.1832461,.8552755,.6255836,.2362278,.7932405,.3558648,.1023857,23.00398
17094,2406,200,318,371,460,319,111,71,5,224,126,54,313,190,60,373,248,85,235,126,49,.555,.355,.025,.7044025,.3962264,.1698113,.8436658,.5121294,.1617251,.8108696,.5391304,.1847826,.7366771,.3949843,.153605,17.95238
17095,5463,528,618,945,992,732,302,149,0,481,356,165,770,456,191,840,578,155,554,203,65,.5719697,.282197,0,.7783172,.5760518,.2669903,.8148148,.4825397,.2021164,.8467742,.5826613,.15625,.7568306,.2773224,.0887978,14.28571
17096,25946,2042,2714,4042,5899,4007,1470,713,103,2430,1674,576,3661,2067,623,5254,3138,1051,3040,1213,360,.7198825,.3491675,.0504407,.8953574,.6168018,.2122329,.9057397,.5113805,.1541316,.8906595,.5319546,.1781658,.7586723,.3027202,.0898428,18.2844
17097,8180,1204,809,1203,1765,1201,920,745,36,769,555,197,1179,898,346,1705,1236,571,963,421,132,.7641196,.6187708,.0299003,.9505562,.6860321,.2435105,.9800498,.7464672,.2876143,.9660057,.7002833,.3235127,.8018318,.3505412,.1099084,17.96438
17098,3319,217,258,514,765,805,148,122,20,258,166,30,498,265,59,670,437,156,548,225,84,.6820276,.562212,.0921659,1,.6434109,.1162791,.9688716,.5155642,.114786,.875817,.5712419,.2039216,.6807454,.2795031,.1043478,23.3672
17099,6885,459,701,1128,1718,1076,321,176,27,672,455,193,1080,538,149,1601,794,329,805,267,130,.6993464,.3834423,.0588235,.9586305,.6490728,.275321,.9574468,.4769503,.1320922,.9318976,.4621653,.1915018,.7481413,.2481413,.1208178,31.89349
17100,1749,118,152,271,394,316,82,47,7,126,87,37,249,157,58,337,187,63,240,105,37,.6949152,.3983051,.059322,.8289474,.5723684,.243421,.9188192,.5793358,.2140221,.8553299,.4746193,.1598985,.7594936,.3322785,.1170886,23.16583
17101,6483,405,552,909,1490,1621,292,190,18,500,348,143,837,472,140,1335,684,219,1042,466,191,.7209877,.4691358,.0444444,.9057971,.6304348,.259058,.9207921,.5192519,.1540154,.8959731,.4590604,.1469799,.6428131,.2874769,.1178285,37.38453
17102,2531,184,320,353,542,410,115,74,12,246,156,53,299,185,46,435,280,119,283,108,34,.625,.4021739,.0652174,.76875,.4875,.165625,.8470255,.5240793,.1303116,.802583,.5166051,.2195572,.6902439,.2634146,.0829268,28.43243
17103,10332,821,1022,1451,2412,2059,509,279,16,839,494,85,1319,760,180,2093,1245,320,1380,551,175,.6199756,.3398295,.0194884,.8209394,.483366,.0831703,.9090282,.5237767,.1240524,.8677446,.5161691,.13267,.6702282,.2676056,.0849927,28.27554
17104,3788,333,286,535,905,941,230,102,4,275,159,36,493,244,72,821,511,151,635,238,45,.6906907,.3063063,.012012,.9615384,.5559441,.1258741,.9214953,.4560748,.1345794,.9071823,.5646409,.1668508,.674814,.2529224,.0478215,32.41187
