oldcode,_type_,_freq_,ed_25plus_hsormore70,ed_25plus_collegeormore70,ed_18_24_hsormore70,ed_18_24_collegeormore70,total_pop25_plus70,total_pop18_24_70,total_pop70,povrate60
1042,0,1,.3756903,.061789,.5790759,.0154692,21185,4913,40349,49.06786
1043,0,1,.2644777,.0496121,.4366197,.0289515,5543,1278,12803,76.94733
1044,0,1,.3895302,.1471305,.676154,.0540541,12302,4181,24120,60.51723
1045,0,1,.630144,.1875753,.6334105,.071541,92171,21610,182687,29.39149
1046,0,1,.3435629,.0641599,.4551167,.0426391,11861,2228,23119,63.18445
1047,0,1,.283651,.0354839,.4948957,.0106525,13640,2253,22753,52.7599
1048,0,1,.3409302,.0522591,.5162226,.0172195,30100,5517,52535,41.13768
1049,0,1,.426455,.0751129,.6140085,.0340337,160718,34936,308870,31.98251
1050,0,1,.3266346,.0569865,.4719881,.0079326,10599,2017,20246,62.36896
1051,0,1,.5433457,.1269988,.6025995,.0474953,87552,18465,162583,36.75657
1052,0,1,.4599079,.0837622,.5665264,.0390356,40806,7839,75374,36.46137
1053,0,1,.2878869,.0708378,.5298672,.0110619,7496,1808,14857,75.13681
1054,0,1,.3157555,.0458072,.5008696,.0330435,10828,1725,19807,58.91557
1055,0,1,.3740446,.0705414,.7575113,.0257866,12560,4227,24624,61.9207
1056,0,1,.2827999,.0373386,.4507576,.0233586,10686,1584,17627,50.72083
1057,0,1,.2713958,.0300865,.4416476,.0314645,22668,5244,43762,49.99789
1058,0,1,.3121955,.0314398,.4330935,.0201439,14981,2780,27091,44.42008
1059,0,1,.3609599,.0582076,.6000394,.0272028,19293,5073,36827,45.08377
1060,0,1,.324524,.0741483,.6468288,.03649,7984,2302,16304,73.84322
1061,0,1,.357076,.0505538,.4874085,.0194729,33133,6830,63073,45.34272
1062,0,1,.3309548,.0443581,.5128276,.0267708,18779,3586,32755,40.67229
1063,0,1,.4479094,.1094619,.692181,.0794255,60030,19427,111176,40.56952
1064,0,1,.3025698,.0401915,.5155387,.0108771,31325,5792,54737,44.65673
1065,0,1,.2951525,.0362262,.5130641,.0089074,7674,1684,15729,54.22368
1066,0,1,.3036802,.0626158,.367387,.0353635,7554,1527,15897,78.65428
1067,0,1,.3087904,.0325212,.4442499,.0023351,9317,1713,16016,50.54373
2001,0,1,.6033985,.1250401,.7934901,.0524412,3119,2765,7924,28.93401
2002,0,1,.6033985,.1250401,.7934901,.0524412,3119,2765,7924,13.45054
2003,0,1,.7591519,.1587619,.7342623,.0594536,56928,18300,121315,15.29646
2004,0,1,.1935714,.0789286,.2825279,.0371747,2800,807,7416,12.3916
2005,0,1,.7083333,.13125,.7943038,.0348101,480,316,1029,8.492275
2006,0,1,.3052709,.0871157,.3198529,0,1366,272,3580,25.46012
2007,0,1,.7495891,.1668522,.7205067,.0701738,18861,10816,44844,20.98931
2008,0,1,.4692597,.1342535,.7254902,0,797,102,1506,22.27682
2009,0,1,.7713877,.2187411,.6422893,.0922099,6990,1258,13257,21.14061
2010,0,1,.6609995,.1069911,.6233865,.0410023,6823,1317,13798,8.232191
2011,0,1,.6439063,.1452958,.6272523,.0236486,5038,888,9655,9.686411
2012,0,1,.6061204,.1105627,.6785509,.079356,4052,1739,9230,30.23455
2013,0,1,.3052709,.0871157,.3198529,0,1366,272,3580,18.523
2014,0,1,.608288,.0756201,.5321888,.0064378,3306,466,6403,28.65109
2015,0,1,.3049615,.0945252,.414791,.0803858,2338,622,5604,31.10769
2016,0,1,.1907067,.0648596,.5317221,.0362538,1033,331,2617,82.45859
2017,0,1,.2431762,.0632754,.4701299,.0103896,1612,385,4356,75.40984
2018,0,1,.5795602,.1125485,.6618357,.0676328,773,207,1738,50.36776
2019,0,1,.6390198,.1413761,.6779432,.0933694,3183,739,6269,8.473246
2020,0,1,.5329341,.1117764,.5722892,.0662651,1002,166,2016,65.32374
2021,0,1,.6285885,.1429426,.585389,.0967742,1672,1054,4257,49.56868
2022,0,1,.5662073,.0988616,.6096655,.0743494,1669,269,3041,75.49081
2023,0,1,.0704671,.01346,.3087248,0,1263,596,3906,59.35649
2024,0,1,.5422564,.091387,.5518764,.0551876,2473,453,4839,93.07167
2025,0,1,.5177501,.0949746,.6495601,.0571848,2169,682,4665,
3001,0,1,.3399168,.0823605,.452126,.0364026,12506,3269,31411,66.0539
3002,0,1,.5585954,.1074388,.6718476,.0687157,30045,8557,60385,24.87068
3003,0,1,.5825171,.1608786,.7635612,.0617458,20214,9199,46906,34.77553
3004,0,1,.4624662,.0632703,.544241,.0202136,15173,2622,28558,29.21829
3005,0,1,.4726116,.0924195,.6655827,.0124661,7704,1845,16201,35.83064
3006,0,1,.4740321,.0644004,.5833333,.0142857,5295,840,10032,22.92434
3007,0,1,.600794,.1282333,.6790591,.0562861,510819,110578,944202,20.9282
3008,0,1,.5771515,.0697598,.6384346,.0233645,15152,1712,25391,24.66245
3009,0,1,.4147502,.0689929,.4210764,.0384441,20176,4422,46153,52.00044
3010,0,1,.6309353,.1569352,.715719,.0718954,185943,45747,342877,20.23236
3011,0,1,.4216413,.0766565,.4664926,.0192921,32900,6894,66180,38.99426
3012,0,1,.4350137,.0910527,.4237288,.0258698,6963,1121,13561,35.74834
3013,0,1,.5495405,.1133479,.6602487,.0256719,22850,2493,35677,23.26754
3014,0,2,.503417,.0872421,.6185132,.0463432,59994,16572,119110,24.90828
4001,0,1,.3720623,.0543969,.4882831,.0296509,12850,2091,22560,45.90302
4002,0,1,.3982625,.0595946,.5619335,.034959,13122,2317,24375,47.21237
4003,0,1,.4609435,.0572002,.5707678,.0490287,10472,1081,14838,45.16038
4004,0,1,.4342281,.0616751,.5715107,.0291411,29169,5216,49356,39.40473
4005,0,1,.4394069,.0719061,.6087492,.0221811,11668,1623,18539,44.08264
4006,0,1,.32555,.0433257,.5256147,.0256148,7409,976,12588,50.99333
4007,0,1,.3130767,.0349984,.6096346,.0199336,3143,602,5499,58.79927
4008,0,1,.4015768,.0506104,.5762224,.0258869,7864,1043,12038,45.89847
4009,0,1,.2766681,.0458989,.3285199,.0527076,9412,1385,17338,67.34337
4010,0,1,.41626,.1144462,.8441811,.0258621,10861,4640,20542,47.13569
4011,0,1,.23296,.0287401,.4428951,.0292165,11517,1506,18505,49.47639
4012,0,1,.2672231,.0344461,.5066845,.026738,6590,748,10192,57.21098
4013,0,1,.3084525,.0221066,.5695238,.0266667,3845,525,6440,58.14674
4014,0,1,.3893836,.0602912,.7318289,.0342907,14148,3412,25438,46.16254
4015,0,1,.3753757,.0463718,.5944149,.0285904,9316,1504,16434,52.21636
4016,0,1,.3917454,.0884421,.7224804,.0494129,27306,8176,50913,41.63079
4017,0,1,.3643632,.0364989,.4931903,.0160957,14384,2423,25106,46.09004
4018,0,1,.3124201,.0452802,.4041037,.038013,22681,4630,47045,63.3959
4019,0,1,.2758655,.0377226,.5163015,.0320684,9994,1871,19351,60.74405
4020,0,1,.319816,.0460044,.6401869,.0140187,5869,856,9933,57.58924
4021,0,1,.3150168,.0543205,.4876084,.0142503,9536,1614,18047,59.62214
4022,0,1,.3462127,.0869676,.7144749,.043248,7842,2266,14937,55.92202
4023,0,1,.4847602,.1053165,.7787553,.0312805,15781,6138,30772,45.3821
4024,0,1,.3497745,.0419549,.5800995,.041791,6650,1005,11094,50.21872
4025,0,1,.2702591,.0358549,.6379018,.0287648,4825,591,7431,63.32052
4026,0,1,.4490533,.0666351,.5734221,.0461571,33751,4658,52442,39.00112
4027,0,1,.3425176,.0367369,.6094737,.0442105,5553,950,9524,46.53896
4028,0,1,.2875694,.0440972,.5835113,.0461341,14400,2341,24124,49.75391
4029,0,1,.3672094,.0457808,.6218069,.023676,11424,1605,18803,52.37788
4030,0,1,.3685087,.0430508,.5841629,.0176471,12613,2210,21265,37.14945
4031,0,1,.3444604,.0469065,.5607581,.0122631,6950,897,11183,46.5284
4032,0,1,.3511069,.0455983,.6268519,.0208333,13597,2160,22147,55.91365
4033,0,1,.2719261,.0331515,.5009785,.0410959,4766,511,7168,60.48956
4034,0,1,.2837604,.0428497,.5425753,.0160955,11552,1926,19973,46.60654
4035,0,1,.43942,.0760789,.6330565,.0324239,43100,10116,82225,47.88948
4036,0,1,.3297435,.052759,.579098,.035791,8264,1397,13142,53.43197
